Min seam : 447577.193431
[ 4616.           430.            72.01477575]
[ 4615.           429.           110.18350118]
[ 4614.           428.            45.99968085]
[ 4613.           428.             8.70873542]
[ 4612.          427.            9.8207956]
[ 4611.           427.            23.35560843]
[ 4610.           426.           331.99466703]
[ 4609.           425.            77.64271467]
[ 4608.           427.           136.08452819]
[ 4607.           427.           149.91868198]
[ 4606.           427.            53.36022525]
[ 4605.           425.           178.00094961]
[ 4604.           425.           221.45599222]
[ 4603.           426.            19.03005819]
[ 4602.           426.            31.14674541]
[ 4601.           425.            27.65400862]
[ 4600.           424.            21.42299037]
[ 4599.           424.            14.95752881]
[ 4598.           422.            93.28091101]
[ 4597.           422.            27.13773683]
[ 4596.           421.            67.08093621]
[ 4595.           421.            53.67260787]
[ 4594.           421.            79.03725271]
[ 4593.           423.           198.49897025]
[ 4592.           423.             9.76887934]
[ 4591.           422.            27.12077349]
[ 4590.           423.            34.31476722]
[ 4589.           422.            41.05033699]
[ 4588.           421.            95.66774227]
[ 4587.           421.             7.89643202]
[ 4586.           421.           257.05902099]
[ 4585.           420.            26.68354228]
[ 4584.           421.            12.75032981]
[ 4583.           421.           227.63434527]
[ 4582.          419.            8.8262153]
[ 4581.           418.           222.00203927]
[ 4580.           418.            96.50613482]
[ 4579.           418.            61.20360387]
[ 4578.           417.            39.44101174]
[ 4577.           418.           154.92735076]
[  4.57600000e+03   4.19000000e+02   3.75242255e+00]
[ 4575.           420.           162.98468851]
[ 4574.           421.            14.45003764]
[ 4573.           422.            33.42107853]
[ 4572.           422.            73.57620946]
[ 4571.           424.           264.45602483]
[ 4570.           424.            14.64898579]
[ 4569.           423.            27.03317117]
[ 4568.           424.            44.88892058]
[ 4567.           423.            92.26732879]
[ 4566.          423.            7.1628622]
[ 4565.           423.            73.27565691]
[ 4564.           423.            37.86325441]
[ 4563.           422.            47.35860106]
[ 4562.           423.            15.35320659]
[ 4561.           423.            46.69059294]
[ 4560.           423.            35.92683901]
[ 4559.           421.            42.89516817]
[ 4558.           420.            73.94875188]
[ 4557.           421.           102.91059331]
[ 4556.           420.            25.23650449]
[  4.55500000e+03   4.21000000e+02   1.00649742e+00]
[ 4554.           420.           110.39043448]
[ 4553.           419.           142.98039441]
[ 4552.           420.           251.20417967]
[  4.55100000e+03   4.20000000e+02   2.33133612e+00]
[ 4550.           419.            82.97654197]
[ 4549.           418.            83.83642799]
[ 4548.          419.           58.4545678]
[ 4547.           418.            55.02461028]
[ 4546.           419.             5.26908864]
[ 4545.           418.            71.97484363]
[ 4544.           416.           393.29268108]
[ 4543.           416.           200.13409736]
[ 4542.           415.            93.01778863]
[ 4541.           414.           199.59792841]
[ 4540.          412.          171.0387931]
[ 4539.           412.            16.50887735]
[ 4538.           410.           331.39772439]
[ 4537.           410.            11.60462673]
[ 4536.           408.            70.08717103]
[ 4535.           409.           111.08861292]
[ 4534.           408.            25.69648255]
[ 4533.           409.            61.63767467]
[ 4532.          409.          126.3542193]
[ 4531.           409.           140.70797952]
[ 4530.           408.           116.00888535]
[ 4529.           408.            22.69329244]
[ 4528.           407.           184.73553333]
[ 4527.           407.            55.28910349]
[ 4526.           408.            62.48567214]
[ 4525.           408.           152.00397545]
[  4.52400000e+03   4.08000000e+02   3.26104462e-01]
[ 4523.           406.           291.90078585]
[  4.52200000e+03   4.05000000e+02   3.40138546e+00]
[ 4521.           403.           260.33145096]
[ 4520.           401.           311.13382782]
[ 4519.           400.             9.74250794]
[ 4518.           402.           123.97754559]
[ 4517.           401.            26.84588715]
[ 4516.           400.           216.71290694]
[ 4515.           399.           200.84428751]
[ 4514.           399.            43.84297098]
[  4.51300000e+03   3.98000000e+02   4.36377619e+00]
[ 4512.          398.           95.5983064]
[  4.51100000e+03   3.97000000e+02   8.18634036e-01]
[ 4510.           398.            15.33739634]
[ 4509.           398.           177.34565268]
[ 4508.           399.            29.57896908]
[ 4507.          399.           11.9443958]
[ 4506.           399.            17.23101431]
[ 4505.           398.           165.64037974]
[ 4504.          397.           71.7498323]
[ 4503.           397.           148.68127468]
[ 4502.           398.            18.88323688]
[ 4501.           399.            92.37294855]
[ 4500.           400.            68.20899924]
[ 4499.           398.           156.48701889]
[ 4498.           399.            46.59254307]
[ 4497.           398.           142.15477066]
[ 4496.           398.           203.86034788]
[ 4495.           397.            47.67282084]
[ 4494.           398.            69.70814863]
[ 4493.           398.            87.13765151]
[ 4492.           398.            76.30975799]
[ 4491.           398.            45.60206642]
[ 4490.           397.            34.53537064]
[ 4489.           397.            14.47132207]
[ 4488.           397.            74.00120973]
[ 4487.           396.            55.71456039]
[ 4486.           396.           115.29114446]
[ 4485.           395.            21.95712473]
[ 4484.           394.           100.56800483]
[ 4483.          394.           85.2734576]
[ 4482.           393.            33.40616592]
[ 4481.           391.           148.21229406]
[ 4480.           392.            74.68335463]
[ 4479.           391.           143.28799684]
[ 4478.           391.           225.33468279]
[ 4477.           391.             6.06808516]
[ 4476.           391.            73.09338263]
[  4.47500000e+03   3.92000000e+02   3.34697920e+00]
[ 4474.           391.            21.23955817]
[ 4473.           391.             8.69214627]
[ 4472.          392.            4.8355264]
[ 4471.           393.            76.59254299]
[ 4470.           394.           102.09870898]
[ 4469.           395.            15.95141843]
[ 4468.           395.            27.50151911]
[ 4467.           394.            89.29857925]
[ 4466.           395.           107.29464138]
[ 4465.           397.            97.95612848]
[ 4464.           396.            57.05933201]
[ 4463.           398.           161.70516711]
[ 4462.           397.            53.51079401]
[ 4461.           397.            49.45301379]
[ 4460.           398.           131.08854685]
[ 4459.           399.           164.19862359]
[ 4458.          399.            6.7967136]
[ 4457.          400.          184.8296584]
[ 4456.           401.           100.43198608]
[  4.45500000e+03   4.00000000e+02   2.93042034e+00]
[ 4454.           399.            45.07846371]
[ 4453.          399.          209.4819667]
[ 4452.           398.            53.61104992]
[ 4451.           398.           129.85115597]
[ 4450.           397.            78.83930488]
[ 4449.           398.           252.02913124]
[ 4448.           399.            65.18718796]
[  4.44700000e+03   4.00000000e+02   4.11510568e+00]
[ 4446.           400.            34.09529945]
[ 4445.           402.           112.78381315]
[ 4444.           403.           175.31206897]
[ 4443.           402.            57.53783627]
[ 4442.           403.            55.38933714]
[  4.44100000e+03   4.04000000e+02   3.57995817e+00]
[ 4440.           404.           138.41529211]
[ 4439.           402.           146.59813811]
[  4.43800000e+03   4.03000000e+02   6.06867066e-01]
[ 4437.           403.            10.47326247]
[ 4436.           403.            66.97961354]
[ 4435.          405.          381.1681639]
[ 4434.           405.           120.91415554]
[ 4433.           405.            11.76699644]
[ 4432.          406.           92.0581425]
[ 4431.           405.            11.78381427]
[ 4430.           405.            81.73753519]
[ 4429.           405.            20.12845911]
[ 4428.           406.            41.80002654]
[ 4427.           407.           217.08730945]
[ 4426.          407.           37.7936919]
[ 4425.           407.           157.02759351]
[ 4424.           408.            43.56106841]
[ 4423.           408.            62.94635706]
[ 4422.           409.            20.10883703]
[ 4421.           408.             6.82205498]
[ 4420.           407.            15.09868354]
[ 4419.           408.            79.27535884]
[ 4418.          408.          178.9255331]
[ 4417.           408.            58.71026201]
[  4.41600000e+03   4.08000000e+02   7.41961965e-01]
[ 4415.           409.            22.43675624]
[ 4414.           408.            35.17578621]
[ 4413.           409.           153.66366517]
[ 4412.          410.           84.1192369]
[ 4411.           410.           119.75998913]
[ 4410.           411.           218.03417853]
[ 4409.           412.            61.46455823]
[ 4408.           411.           225.12171936]
[ 4407.          409.           78.7815533]
[ 4406.           410.           134.60389307]
[ 4405.           409.           131.19315553]
[ 4404.           408.            14.60339941]
[ 4403.           408.            41.27361419]
[ 4402.           409.            25.61076944]
[ 4401.           408.            25.42403793]
[ 4400.       407.        50.5637]
[ 4399.           408.            38.05219596]
[ 4398.           406.           180.56214517]
[ 4397.           406.           253.55674888]
[  4.39600000e+03   4.05000000e+02   3.98993375e-01]
[  4.39500000e+03   4.05000000e+02   2.08012830e+00]
[ 4394.           403.            71.83341303]
[ 4393.           403.           248.99414103]
[ 4392.           402.            56.67869714]
[ 4391.           401.            66.88296543]
[ 4390.          402.           17.6356253]
[ 4389.           402.           203.08058586]
[ 4388.           401.            88.48205443]
[ 4387.           402.            33.79028734]
[ 4386.           402.            99.22642114]
[ 4385.           401.            14.38957741]
[ 4384.           399.            77.96056287]
[ 4383.           400.            19.01140158]
[ 4382.           400.            41.70901638]
[ 4381.           399.            91.16458772]
[ 4380.           401.            99.49399142]
[ 4379.           401.            26.02850315]
[ 4378.           402.           191.18580259]
[ 4377.           403.            40.13106183]
[ 4376.           404.           165.07599631]
[ 4375.          405.           68.9260987]
[ 4374.           404.            22.47731165]
[ 4373.           405.            68.72217072]
[ 4372.           407.           133.97670023]
[ 4371.          406.           92.4722428]
[  4.37000000e+03   4.06000000e+02   2.48725389e+00]
[ 4369.           407.            88.12097628]
[ 4368.           408.            76.79507028]
[ 4367.           407.           255.74453579]
[ 4366.           408.            93.36412769]
[ 4365.           409.           102.25359331]
[ 4364.           409.            56.30242767]
[ 4363.           410.            69.05150741]
[ 4362.           411.            10.18267972]
[ 4361.           412.           154.02287085]
[ 4360.          412.           63.1537766]
[ 4359.           413.           142.96550918]
[ 4358.           412.           118.99810075]
[ 4357.           410.           138.06708285]
[  4.35600000e+03   4.10000000e+02   2.30250892e+00]
[ 4355.           411.            14.89410069]
[ 4354.           410.            25.44569531]
[ 4353.           411.            34.90276404]
[ 4352.           410.            18.39452501]
[ 4351.           409.           199.39704492]
[ 4350.          410.           68.6284208]
[ 4349.           411.            21.64220038]
[ 4348.           412.           143.81867949]
[ 4347.           412.            96.57185316]
[ 4346.           411.            20.50407781]
[ 4345.           412.           153.69987106]
[ 4344.          411.           20.8567443]
[ 4343.           412.            14.59541881]
[ 4342.           411.            67.74469216]
[ 4341.           410.            73.25653796]
[ 4340.           410.            30.80154882]
[ 4339.           409.           123.63899827]
[ 4338.           409.            15.95389445]
[ 4337.           407.           404.21421679]
[ 4336.           407.            95.34649125]
[ 4335.           408.            70.52868408]
[ 4334.           407.           108.60318547]
[ 4333.           406.            11.08256904]
[ 4332.           406.            45.20059656]
[ 4331.           406.            34.94703693]
[ 4330.           407.           140.79214769]
[ 4329.           407.           331.97367255]
[ 4328.           408.            35.72057333]
[ 4327.           408.            40.60296394]
[ 4326.           408.            20.10399185]
[ 4325.           408.           131.21558354]
[ 4324.           408.            10.73554454]
[ 4323.           409.           108.98567148]
[ 4322.           408.            50.14383665]
[ 4321.           407.            78.78222792]
[ 4320.           406.           141.98308085]
[ 4319.           407.           288.15749828]
[ 4318.           407.            38.59856234]
[ 4317.           408.            29.95465827]
[ 4316.           408.           142.65725343]
[ 4315.           407.            25.12481742]
[ 4314.          407.           48.2522521]
[ 4313.           406.            33.23759499]
[ 4312.          406.           97.8699348]
[ 4311.           407.            17.96055959]
[ 4310.           406.            17.43679429]
[ 4309.          406.           51.2887476]
[ 4308.           406.           111.41774843]
[ 4307.          405.           26.9978353]
[ 4306.           405.           172.37902042]
[ 4305.           403.           140.32556356]
[ 4304.           403.           218.88799866]
[ 4303.           403.           216.00122979]
[ 4302.           403.            82.48239082]
[ 4301.           404.            10.30410905]
[ 4300.           404.           169.31734164]
[  4.29900000e+03   4.03000000e+02   3.31403464e+00]
[ 4298.           404.           222.56623226]
[ 4297.          406.          171.6591112]
[ 4296.           407.            26.25745864]
[ 4295.           407.            74.33895292]
[ 4294.           408.            89.25158902]
[ 4293.           407.           382.37721406]
[ 4292.           407.            33.87491287]
[ 4291.           406.           108.94883958]
[ 4290.           407.           309.63156019]
[ 4289.           406.            64.73224543]
[ 4288.           405.            84.64925883]
[ 4287.           404.           234.63510012]
[ 4286.           404.           114.43565204]
[ 4285.           403.            53.46878089]
[ 4284.           404.            20.07315517]
[ 4283.           405.            47.96931408]
[ 4282.           404.            26.31146091]
[ 4281.           404.           273.29684739]
[ 4280.          405.           35.9560636]
[ 4279.           406.            43.00441229]
[ 4278.           407.           217.57327556]
[ 4277.         408.           9.200139]
[ 4276.           408.            43.03849295]
[ 4275.          409.           83.8750488]
[ 4274.           410.            83.67410093]
[ 4273.           410.            30.50982498]
[ 4272.           408.           135.45711499]
[ 4271.           409.           188.36633558]
[ 4270.           409.             4.50056771]
[ 4269.           410.           226.35689801]
[ 4268.          411.          129.7451442]
[ 4267.          412.            8.0250988]
[ 4266.           411.           126.33664498]
[ 4265.           412.            96.39020346]
[ 4264.           411.            26.00492773]
[ 4263.           412.             5.15822819]
[ 4262.           414.            89.65981986]
[ 4261.           413.           113.72991047]
[ 4260.           415.           240.56013086]
[ 4259.           415.            22.12505129]
[ 4258.           415.            72.19532297]
[  4.25700000e+03   4.15000000e+02   2.05987092e+00]
[ 4256.           414.            86.88786102]
[ 4255.          412.          119.5836872]
[ 4254.           411.            11.14821278]
[ 4253.           412.           172.40639021]
[ 4252.           413.            31.40636165]
[ 4251.           412.           134.57270538]
[ 4250.           410.            25.96188841]
[ 4249.           410.            89.11924518]
[  4.24800000e+03   4.11000000e+02   2.00245295e+00]
[ 4247.           411.           182.11974964]
[ 4246.           410.            69.53123125]
[ 4245.           408.           110.95654995]
[ 4244.           408.            56.56368366]
[ 4243.           408.            60.36014421]
[ 4242.           407.             6.42805824]
[ 4241.          408.           18.3506112]
[ 4240.           408.            18.53089071]
[ 4239.           409.            14.79893788]
[ 4238.           409.            61.75039693]
[ 4237.           409.           151.97646938]
[ 4236.          410.          162.4654896]
[  4.23500000e+03   4.09000000e+02   1.20543823e+00]
[ 4234.           408.            50.06433581]
[ 4233.           409.           166.05186943]
[ 4232.          407.            9.2504722]
[ 4231.           408.            64.02985249]
[ 4230.           407.            38.65413449]
[ 4229.           406.            57.92368143]
[ 4228.           408.            96.10227049]
[ 4227.           409.           175.27887132]
[ 4226.           410.            43.96072231]
[ 4225.           409.            30.94197804]
[ 4224.           409.            23.11212071]
[ 4223.          408.          126.3244621]
[ 4222.           409.            20.62140323]
[ 4221.         410.          19.109072]
[ 4220.           409.            37.29793741]
[ 4219.           408.           107.32161555]
[ 4218.           408.            74.37143552]
[ 4217.           409.            27.77497284]
[ 4216.           410.            10.56141237]
[ 4215.           412.           203.79941474]
[ 4214.           411.            27.55484335]
[ 4213.           413.            99.00219446]
[ 4212.           415.           171.87671321]
